Total owed a prevention or relief duty,2020_people_per_sq_km,Income_deprivation_score_2019,GDP_2019,median_earnings_2020,median_house_price_2020 ,white,Black / African / Caribbean / Black British: African,Asian/Asian_Britian,Mixed / Multiple ethnic groups,"Full-time
 work","Part-time
 work",Student / training,Registered unemployed,Not registered but seeking work,Not seeking work / at home,Not working due to long-term illness / disability,Retired
271.000000 ,312.000000 ,0.103000 ,34264.000000 ,28804.000000 ,178000.000000 ,0.860000 ,0.020000 ,0.060000 ,0.050000 ,0.147600 ,0.070100 ,0.022100 ,0.343200 ,0.033200 ,0.081200 ,0.206600 ,0.033200 
1120.000000 ,199.000000 ,0.112000 ,25027.000000 ,29198.000000 ,238330.000000 ,0.940000 ,0.000000 ,0.000000 ,0.000000 ,0.126800 ,0.069600 ,0.014300 ,0.227700 ,0.059800 ,0.151800 ,0.182100 ,0.042900 
277.000000 ,1701.000000 ,0.066000 ,37549.000000 ,31374.000000 ,285000.000000 ,0.790000 ,0.010000 ,0.020000 ,0.010000 ,0.122700 ,0.090300 ,0.007200 ,0.223800 ,0.072200 ,0.202200 ,0.176900 ,0.043300 
121.000000 ,25.000000 ,0.070000 ,31774.000000 ,27221.000000 ,185000.000000 ,0.960000 ,0.000000 ,0.010000 ,0.020000 ,0.165300 ,0.115700 ,0.000000 ,0.289300 ,0.090900 ,0.033100 ,0.181800 ,0.024800 
310.000000 ,1444.000000 ,0.057000 ,50527.000000 ,36638.000000 ,600000.000000 ,0.810000 ,0.040000 ,0.050000 ,0.040000 ,0.161300 ,0.138700 ,0.016100 ,0.341900 ,0.025800 ,0.071000 ,0.096800 ,0.035500 
1905.000000 ,4127.000000 ,0.171000 ,28225.000000 ,30338.000000 ,415000.000000 ,0.380000 ,0.350000 ,0.060000 ,0.070000 ,0.121800 ,0.145900 ,0.023100 ,0.350700 ,0.043600 ,0.066100 ,0.071900 ,0.015200 
381.000000 ,390.000000 ,0.091000 ,35349.000000 ,32465.000000 ,464500.000000 ,0.810000 ,0.070000 ,0.030000 ,0.030000 ,0.099700 ,0.120700 ,0.005200 ,0.317600 ,0.057700 ,0.126000 ,0.173200 ,0.031500 
222.000000 ,2377.000000 ,0.056000 ,25438.000000 ,27905.000000 ,485000.000000 ,0.810000 ,0.030000 ,0.060000 ,0.030000 ,0.139600 ,0.090100 ,0.009000 ,0.414400 ,0.022500 ,0.130600 ,0.103600 ,0.009000 
293.000000 ,1052.000000 ,0.120000 ,18653.000000 ,27326.000000 ,166875.000000 ,0.950000 ,0.010000 ,0.010000 ,0.010000 ,0.075100 ,0.058000 ,0.013700 ,0.453900 ,0.034100 ,0.133100 ,0.170600 ,0.010200 
1148.000000 ,2835.000000 ,0.095000 ,47259.000000 ,29934.000000 ,250000.000000 ,0.840000 ,0.010000 ,0.010000 ,0.010000 ,0.117600 ,0.087100 ,0.016600 ,0.211700 ,0.059200 ,0.047900 ,0.333600 ,0.023500 
